ID;Тип;Название;Значение списочных полей;;Сортировка
ID;Целое число;ID;;;
TITLE;Строка;Название;;;
TYPE_ID;Справочник;Тип;;;
CATEGORY_ID;crm_category;Воронка;;;
STAGE_ID;Справочник;Стадия сделки;;;
STAGE_SEMANTIC_ID;Строка;Группа стадии;;;
IS_NEW;char;Новая сделка;;;
IS_RECURRING;char;Регулярная сделка;;;
IS_RETURN_CUSTOMER;char;Повторная сделка;;;
IS_REPEATED_APPROACH;char;Повторное обращение;;;
PROBABILITY;Целое число;Вероятность;;;
CURRENCY_ID;Валюта (системное);Валюта;;;
OPPORTUNITY;Число;Сумма;;;
IS_MANUAL_OPPORTUNITY;char;IS_MANUAL_OPPORTUNITY;;;
TAX_VALUE;Число;Ставка налога;;;
COMPANY_ID;crm_company;Компания;;;
CONTACT_ID;crm_contact;Контакт;;;
CONTACT_IDS;crm_contact;Контакты;;;
QUOTE_ID;crm_quote;Предложение;;;
BEGINDATE;Дата;Дата начала;;;
CLOSEDATE;Дата;Дата завершения;;;
OPENED;char;Доступна для всех;;;
CLOSED;char;Закрыта;;;
COMMENTS;Строка;Комментарий;;;
ASSIGNED_BY_ID;Пользователь;Ответственный;;;
CREATED_BY_ID;Пользователь;Кем создана;;;
MODIFY_BY_ID;Пользователь;Кем изменена;;;
MOVED_BY_ID;Пользователь;MOVED_BY_ID;;;
DATE_CREATE;Дата (системное);Дата создания;;;
DATE_MODIFY;Дата (системное);Дата изменения;;;
MOVED_TIME;Дата (системное);MOVED_TIME;;;
SOURCE_ID;Справочник;Источник;;;
SOURCE_DESCRIPTION;Строка;Дополнительно об источнике;;;
LEAD_ID;crm_lead;Лид;;;
ADDITIONAL_INFO;Строка;Дополнительная информация;;;
LOCATION_ID;location;Местоположение;;;
ORIGINATOR_ID;Строка;Внешний источник;;;
ORIGIN_ID;Строка;Идентификатор элемента во внешнем источнике;;;
UTM_SOURCE;Строка;Рекламная система;;;
UTM_MEDIUM;Строка;Тип трафика;;;
UTM_CAMPAIGN;Строка;Обозначение рекламной кампании;;;
UTM_CONTENT;Строка;Содержание кампании;;;
UTM_TERM;Строка;Условие поиска кампании;;;
LAST_ACTIVITY_TIME;Дата (системное);LAST_ACTIVITY_TIME;;;
LAST_ACTIVITY_BY;Пользователь;LAST_ACTIVITY_BY;;;
LAST_COMMUNICATION_TIME;Строка;LAST_COMMUNICATION_TIME;;;
UF_CRM_1751269147414;Строка;Адрес отправления;;;100
UF_CRM_1751269175432;Строка;Адрес назначения;;;100
UF_CRM_1751269222959;Дата (системное);Дата и время поездки;;;100
UF_CRM_1751269256380;Строка;Доп. условия / комментарии;;;100
UF_CRM_1751269280604;Список;Тип водителя ;ID;Значение;100
;;;51;Штатный;
;;;53;Подрядчик;
UF_CRM_1751271728682;Список;Класс авто;ID;Значение;100
;;;93;Комфорт! Jolion, X-Cite, оптима и выше;
;;;95;Комфорт +! Класс D, Camry, optima, k5 и подобные от 2018гв;
;;;97;Микроавтобус! Mercedes sprinter, pegout boxer и подобные;
;;;99;Минивэн! Hyundai Starex и подобные до 8ми мест;
;;;101;Минивэн VIP! Mercedes V-class, hyundai staria и подобные;
;;;103;Автобус! Ютонг и подобные до 55 мест;
;;;105;Бизнес! BMW 5, MERCEDES E-CLASS И ПОДОБНЫЕ ОТ 2018 ГВ;
;;;107;Представительский! Mercedes s-class, Mercedes Maybach, BMW 7 и подобные;
;;;109;Кроссовер! Jolion, Geely Atlas Pro, и подобные;
;;;111;Джип! Land Cruser, BMW x 5 и подобные;
;;;113;Внедорожник! Уаз патриот и подобные;
;;;115;Услуга ТРЕЗВЫЙ ВОДИТЕЛЬ;
;;;117;Доставка;
UF_CRM_1751271774391;Строка;Номер рейса;;;100
UF_CRM_1751271798896;Строка;Пассажиры (ФИО и телефон);;;100
UF_CRM_1751271841129;Деньги;Сумма для клиента;;;100
UF_CRM_1751271862251;Деньги;Сумма для водителя;;;100
UF_CRM_1751272181;Привязка к элементам CRM;Назначенный водитель;;;100
UF_CRM_1751272308689;Строка;ID заявки в боте;;;100
UF_CRM_1751272355936;Список;Статус синхронизации ;ID;Значение;100
;;;61;отправлено в бот;
;;;63;получен ответ;
UF_CRM_1751272374390;Строка;Последнее действие по заявке;;;100
UF_CRM_1751638441407;Деньги;Сумма для водителя (служ);;;100
UF_CRM_1751638512;Строка;Адрес отправления (служ);;;100
UF_CRM_1751638529;Строка;Адрес назначения (служ);;;100
UF_CRM_1751638617;Дата (системное);Дата и время поездки (служ);;;100
UF_CRM_1751822573510;Строка;Промежуточные точки;;;100
UF_CRM_1754217679;Строка;telegram_common_message_id;;;100
UF_CRM_1754228146;Строка;Промежуточные точки (служ.);;;100
UF_CRM_1754381402;Строка;Сумма поездки начальная;;;100